,house_age,years_since_last_action,was_renovated,sqft_living_per_floor,sqft_basement_ratio,sqft_living_lot_ratio,total_rooms_approx,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,sqft_living_sq,bed_bath_interaction,age_sqft_interaction
22,24,5,1,885.0,0.0,0.6156521739130435,6.5,7.479299637782834,7.964155718840937,7.479299637782834,0.0,3132900,7.5,42480
23,45,45,0,1560.0,0.0,0.1871401151631478,8.25,8.045908742270779,9.721545923560459,8.045908742270779,0.0,9734400,11.25,140400
24,35,0,1,1240.0,0.0,0.24720893141945774,8.0,8.221747728346623,9.619066822786719,8.221747728346623,0.0,13838400,12.0,130200
25,11,11,0,1330.0,0.18421052631578946,0.665,7.25,7.886457270977689,8.294299608857235,7.682943169878292,6.19644412779452,7075600,9.75,29260
26,48,48,0,1890.0,0.0,0.13636363636363635,5.75,7.544861068658458,9.536834420213353,7.544861068658458,0.0,3572100,5.25,90720
27,74,18,1,1180.0,0.0,0.1273610361575823,5.0,7.074116816197362,9.134107065976593,7.074116816197362,0.0,1392400,4.0,87320
28,25,25,0,895.0,0.0,0.21979371316306484,6.5,7.490529402060711,9.005159521036145,7.490529402060711,0.0,3204100,7.5,44750
29,47,47,0,1200.0,0.0,0.16483516483516483,5.0,7.0909098220799835,8.893023494394711,7.0909098220799835,0.0,1440000,3.0,56400
30,89,46,1,2250.0,0.4444444444444444,0.2556818181818182,6.0,7.719129840906732,9.082620630373812,7.1316985104669115,6.90875477931522,5062500,6.0,200250
31,90,3,1,1080.0,0.0,0.30857142857142855,4.0,6.985641817639208,8.160803920954665,6.985641817639208,0.0,1166400,2.0,97200
32,57,13,1,1870.0,0.0,0.15103788062353607,5.75,7.534228326274089,9.423999084079178,7.534228326274089,0.0,3496900,5.25,106590
33,98,98,0,1530.0,0.45751633986928103,0.4367684841564373,4.75,7.333676395657684,8.161660452056282,6.7226297948554485,6.55250788703459,2340900,3.5,149940
34,66,20,1,910.0,0.0,0.20222222222222222,5.0,6.814542897259958,8.412054873292933,6.814542897259958,0.0,828100,3.0,60060
35,19,19,0,1605.0,0.0,0.2152917505030181,7.5,8.074337694089515,9.609854474590907,8.074337694089515,0.0,10304100,10.0,60990
36,15,15,0,775.0,0.0,0.11996904024767802,6.5,7.346655163176539,9.46660917372222,7.346655163176539,0.0,2402500,7.5,23250
37,38,38,0,2140.0,0.3130841121495327,0.20676328502415459,4.25,7.669028288589683,9.24483841238375,7.293697720601438,6.508769136971682,4579600,2.25,81320
38,9,9,0,1130.0,0.0,0.5426170468187275,6.5,7.72356247227797,8.334711621820917,7.72356247227797,0.0,5107600,7.5,20340
39,8,8,0,1325.0,0.0,0.33354310887350536,7.5,7.8826922062890254,8.980423936374544,7.8826922062890254,0.0,7022500,10.0,21200
40,45,4,1,2760.0,0.0,0.27165354330708663,6.25,7.923348211930154,9.22631214148588,7.923348211930154,0.0,7617600,6.75,124200
41,98,98,0,1240.0,0.0,0.25609252375051633,5.0,7.123672785204607,8.48528964240323,7.123672785204607,0.0,1537600,3.0,121520
42,11,11,0,1330.0,0.0,0.48363636363636364,7.5,7.886457270977689,8.612685172875459,7.886457270977689,0.0,7075600,10.0,29260
43,7,7,0,730.0,0.1917808219178082,0.9051456912585245,6.5,7.2868764117507,7.3864708488298945,7.074116816197362,5.638354669333745,2131600,7.5,10220
44,31,5,1,910.0,0.0,0.22510822510822512,6.5,7.507141079727608,8.997889450200717,7.507141079727608,0.0,3312400,7.5,56420
45,12,12,0,1925.0,0.21298701298701297,0.23693765770201244,9.25,8.25608813381491,9.695848187757884,8.016647877057803,6.710523109452428,14822500,16.25,46200
46,52,11,1,1320.0,0.0,0.24777875109498185,6.0,7.591357046698551,8.98619632032839,7.591357046698551,0.0,3920400,4.0,102960
47,5,5,0,1275.0,0.0,0.5666666666666667,7.5,7.844240718141811,8.412054873292933,7.844240718141811,0.0,6502500,10.0,12750
48,17,17,0,935.0,0.0,0.5789473684210527,6.25,7.534228326274089,8.080546965824498,7.534228326274089,0.0,3496900,6.75,31790
49,51,51,0,2680.0,0.458955223880597,0.09566645248804169,7.5,7.893945138235959,10.240495359999384,7.280008252884188,7.115582126184454,7182400,7.5,136680
50,66,29,1,633.3333333333334,0.0,0.2235294117647059,5.0,6.85751406254539,8.35490952835879,6.85751406254539,0.0,902500,3.0,62700
51,50,14,1,2340.0,0.32051282051282054,0.3644859813084112,7.5,7.75833346749091,8.76732914779405,7.372118028337787,6.621405651764134,5475600,10.0,117000
52,68,25,1,1555.0,0.18006430868167203,0.4597191426459719,6.5,8.042699496897637,8.819665349340653,7.844240718141811,6.329720905522696,9672100,7.5,211480
53,34,34,0,1580.0,0.0,0.316,9.25,8.058643712215618,9.210440366976517,8.058643712215618,0.0,9985600,16.25,107440
54,36,14,1,2055.0,0.0,0.0943526170798898,10.0,8.321421586897879,10.681917533624532,8.321421586897879,0.0,16892100,20.0,147960
55,6,6,0,790.0,0.36075949367088606,1.3608957795004306,6.5,7.365812837209472,7.057897937411856,6.918695219020472,6.3473892096560105,2496400,7.5,9480
56,99,99,0,785.0,0.0,1.4952380952380953,5.5,7.359467638255621,6.957497370876951,7.359467638255621,0.0,2464900,4.5,155430
57,51,51,0,1910.0,0.0,0.2066205106014712,7.5,7.555381944240273,9.131838143821225,7.555381944240273,0.0,3648100,10.0,97410
58,13,13,0,1170.0,0.0,0.33932714617169374,7.5,7.75833346749091,8.83884181343129,7.75833346749091,0.0,5475600,10.0,30420
59,31,5,1,1050.0,0.0,0.13857727332717434,5.0,6.957497370876951,8.933004591578547,6.957497370876951,0.0,1102500,3.0,32550
60,23,23,0,4270.0,0.37236533957845436,0.09841884478864149,7.5,8.359603270841466,10.677915136047172,7.893945138235959,7.372118028337787,18232900,10.0,98210
61,59,9,1,720.0,0.0,0.14285714285714285,4.0,6.580639137284949,8.525359754082631,6.580639137284949,0.0,518400,2.0,42480
62,6,6,0,2130.0,0.0,0.4346938775510204,8.75,8.357259153499912,9.19023970026918,8.357259153499912,0.0,18147600,15.0,25560
63,39,39,0,1360.0,0.36764705882352944,0.16790123456790124,4.75,7.215975002651466,8.999742789830492,6.7580945044277305,6.2166061010848646,1849600,3.5,53040
64,15,15,0,835.0,0.0,0.4684431977559607,6.5,7.421177528595393,8.179199798423086,7.421177528595393,0.0,2788900,7.5,25050
65,57,14,1,1390.0,0.381294964028777,0.12746446584135718,5.75,7.237778191923443,9.297068375486006,6.7580945044277305,6.274762021241939,1932100,5.25,79230
66,43,43,0,2005.0,0.2892768079800499,0.4712103407755582,9.5,8.296795865770052,9.049114723476961,7.955425088912672,7.057036981697891,16080100,17.5,172430
67,11,11,0,2220.0,0.0,0.4165103189493433,8.5,8.398634855292102,9.274347501950475,8.398634855292102,0.0,19713600,14.0,48840
68,36,14,1,1660.0,0.0,0.20587870519657694,7.5,7.415175109613295,8.99516499031115,7.415175109613295,0.0,2755600,10.0,59760
69,72,32,1,1160.0,0.25862068965517243,0.19333333333333333,4.0,7.057036981697891,8.699681400989514,6.7580945044277305,5.707110264748875,1345600,2.0,83520
70,7,7,0,820.0,0.07317073170731707,0.7735849056603774,3.0,6.710523109452428,6.966967138613983,6.634633357861686,4.110873864173311,672400,1.0,5740
71,39,39,0,810.0,0.0,0.20270270270270271,7.0,7.390798521735676,8.98632143762602,7.390798521735676,0.0,2624400,8.0,63180
72,104,104,0,806.6666666666666,0.0,0.21043478260869566,5.0,7.099201743553092,8.657129031713755,7.099201743553092,0.0,1464100,3.0,125840
73,15,15,0,1670.0,0.0,0.374020156774916,7.5,8.114025442356757,9.097283649683886,8.114025442356757,0.0,11155600,10.0,50100
74,37,10,1,1990.0,0.4020100502512563,0.2074213049822806,5.75,7.596392304064196,9.1689974084418,7.0825485693553,6.68586094706836,3960100,5.25,73630
75,69,69,0,1620.0,0.4876543209876543,0.38571428571428573,5.75,7.390798521735676,8.343077871169383,6.7226297948554485,6.673297967767654,2624400,5.25,111780
76,23,23,0,1115.0,0.0,0.04208897193439405,8.0,7.7102051944325325,10.877745260164815,7.7102051944325325,0.0,4972900,12.0,51290
77,43,43,0,1930.0,0.46632124352331605,0.22976190476190475,8.5,7.565793282428515,9.036106025364846,6.93828448401696,6.803505257608338,3724900,9.0,82990
78,24,24,0,1110.0,0.0,0.3670028103818813,6.5,7.7057128238944275,8.707813551024888,7.7057128238944275,0.0,4928400,7.5,53280
79,11,11,0,3020.0,0.293598233995585,0.01750751702441777,9.0,8.418697944667139,12.463606029291604,8.071218539969863,7.193685818395112,20520900,15.0,49830
80,108,0,1,1460.0,0.136986301369863,0.20277777777777778,5.0,7.2868764117507,8.881975184248867,7.13966033596492,5.303304908059076,2131600,3.0,157680
81,47,3,1,1840.0,0.33695652173913043,0.19166666666666668,6.75,7.518064181233078,9.169622538697624,7.107425474110705,6.431331081933479,3385600,7.0,86480
82,30,30,0,1230.0,0.0,0.10693792383933229,6.0,7.115582126184454,9.35036314989601,7.115582126184454,0.0,1512900,6.0,36900
83,93,93,0,1220.0,0.29508196721311475,0.244,4.75,7.107425474110705,8.517393171418904,6.7580945044277305,5.8888779583328805,1488400,3.5,113460
84,100,18,1,720.0,0.0,0.15,3.0,6.580639137284949,8.476579508530941,6.580639137284949,0.0,518400,1.0,72000
85,12,12,0,2035.0,0.0,0.035258242805412614,7.75,8.31164394850298,11.656462879966424,8.31164394850298,0.0,16564900,11.0,48840
86,73,20,1,980.0,0.22448979591836735,0.1536050156739812,5.0,6.8885724595653635,8.761080103868347,6.634633357861686,5.3981627015177525,960400,3.0,71540
87,69,69,0,960.0,0.0,0.023445513603282373,3.0,6.8679744089702925,10.620033826524304,6.8679744089702925,0.0,921600,1.0,66240
88,103,26,1,1370.0,0.43795620437956206,0.35584415584415585,5.75,7.223295679562314,8.25608813381491,6.647688373563329,6.398594934535208,1876900,5.25,141110
89,48,48,0,1900.0,0.5,0.2852852852852853,6.0,7.550135342488429,8.804024902413179,6.85751406254539,6.85751406254539,3610000,6.0,91200
90,66,66,0,615.0,0.3252032520325203,0.6758241758241759,4.0,7.115582126184454,7.507141079727608,6.7226297948554485,5.993961427306569,1512900,2.0,81180
91,86,86,0,1680.0,0.4007936507936508,0.4380323309577612,7.5,7.83241092718792,8.657650544111494,7.32052696227274,6.918695219020472,6350400,7.5,216720
92,29,29,0,2112.5,0.0,0.014876184373140477,9.5,8.349011198176003,12.556771769771816,8.349011198176003,0.0,17850625,18.0,122525
93,27,27,0,1400.0,0.18571428571428572,0.04426737494466578,6.25,7.244941546337007,10.361766465136906,7.039660349862076,5.564520407322694,1960000,6.75,37800
94,13,13,0,1315.0,0.0,0.45134717693495796,6.5,7.875119281040293,8.670429167315095,7.875119281040293,0.0,6916900,7.5,34190
95,64,29,1,1533.3333333333333,0.0,0.09284301457231664,9.75,7.741099090035366,10.117549995114146,7.741099090035366,0.0,5290000,16.5,147200
96,9,9,0,1010.0,0.0,0.7888570684717522,7.5,8.016647877057803,8.253748343328501,8.016647877057803,0.0,9180900,10.0,27270
97,61,31,1,1190.0,0.0,0.12544802867383512,5.0,7.0825485693553,9.157677719392877,7.0825485693553,0.0,1416100,3.0,72590
98,46,46,0,1630.0,0.0,0.15710843373493977,7.0,7.396948602621014,9.24725072599628,7.396948602621014,0.0,2656900,8.0,74980
99,1,1,1,1785.0,0.19887955182072828,0.43272727272727274,9.0,8.18060094759445,9.018089684104343,7.95892649305011,6.566672429803241,12744900,16.0,3570
100,47,4,1,1945.0,0.16195372750642673,0.539079822616408,6.75,8.266421472984554,8.884194633072273,8.089789175789319,6.447305862541213,15132100,8.25,182830
101,8,8,0,2890.0,0.2629757785467128,0.3399200188191014,10.75,8.662331957082475,9.741262697441297,8.357259153499912,7.327123292259293,33408400,23.75,46240
102,60,35,1,2850.0,0.3929824561403509,0.27210234867290434,6.5,7.955425088912672,9.25674674479034,7.456454555176209,7.02197642307216,8122500,7.5,171000
103,11,11,0,1386.6666666666667,0.2548076923076923,0.4891815616180621,6.25,7.640603826393634,8.355379895253634,7.346655163176539,6.274762021241939,4326400,6.75,22880
104,72,15,1,1830.0,0.0,0.2229260567669631,5.0,7.5126175446745105,9.013108202446475,7.5126175446745105,0.0,3348900,3.0,131760
105,76,76,0,3500.0,0.47714285714285715,0.25225225225225223,7.25,8.160803920954665,9.53791600808964,7.5126175446745105,7.421177528595393,12250000,9.0,266000
106,14,14,0,1590.0,0.0,0.1451789627465303,7.5,8.064950891749143,9.994470200248,8.064950891749143,0.0,10112400,10.0,44520
107,34,34,0,2330.0,0.15450643776824036,0.15645984421165726,5.75,7.754052639035757,9.608646582885868,7.58629630715272,5.8888779583328805,5428900,5.25,79220
108,57,13,1,1100.0,0.0,0.12886597938144329,5.0,7.00397413672268,9.052164937010307,7.00397413672268,0.0,1210000,3.0,62700
109,53,10,1,2650.0,0.4716981132075472,0.23134002618943691,8.5,7.8826922062890254,9.346268889200427,7.244941546337007,7.1316985104669115,7022500,12.5,140450
110,84,84,0,1410.0,0.1276595744680851,0.39166666666666666,8.25,7.944846711001996,8.881975184248867,7.8083230503910555,5.8888779583328805,7952400,12.75,236880
111,5,5,0,2295.0,0.0,0.3125638406537283,10.5,8.431853144249223,9.594649938011555,8.431853144249223,0.0,21068100,22.5,22950
112,51,51,0,1640.0,0.3048780487804878,0.11409489355781272,6.25,7.403061091090091,9.573245865665552,7.039660349862076,6.2166061010848646,2689600,6.75,83640
113,1,1,1,800.0,0.0,0.44780296669465436,6.5,7.3783837129967145,8.181440695719374,7.3783837129967145,0.0,2560000,7.5,1600
114,10,10,1,2000.0,0.23,0.6650041562759768,10.75,8.294299608857235,8.702177865629675,8.033009498596668,6.825460036255307,16000000,22.5,40000
115,42,42,0,1080.0,0.0,0.2769941010515517,4.0,6.985641817639208,8.268731832117737,6.985641817639208,0.0,1166400,2.0,45360
116,0,0,0,1880.0,0.2393617021276596,0.752,8.5,8.232440158470336,8.517393171418904,7.95892649305011,6.803505257608338,14137600,14.0,0
117,45,12,1,2255.0,0.0,0.2971993410214168,10.0,8.414274137408396,9.62747051161485,8.414274137408396,0.0,20340100,20.0,202950
118,92,92,0,740.0,0.0,0.09635416666666667,4.0,6.608000625296087,8.946505025998682,6.608000625296087,0.0,547600,2.0,68080
119,67,26,1,1650.0,0.42424242424242425,0.4125,4.75,7.409136443920128,8.294299608857235,6.85751406254539,6.55250788703459,2722500,3.5,110550
120,28,28,0,1290.0,0.0,0.19700671960904093,6.5,7.855932199718614,9.480138475329403,7.855932199718614,0.0,6656400,7.5,72240
121,31,5,1,1440.0,0.0,0.12216849071010435,5.75,7.273092595999522,9.374837343857585,7.273092595999522,0.0,2073600,5.25,44640
122,27,14,1,1130.0,0.0,0.22259430710134936,6.5,7.72356247227797,9.22562299550734,7.72356247227797,0.0,5107600,7.5,61020
123,89,12,1,1580.0,0.25316455696202533,0.2507936507936508,5.0,7.365812837209472,8.748463629942055,7.074116816197362,5.993961427306569,2496400,3.0,140620
124,105,25,1,1345.0,0.21189591078066913,0.6725,8.75,7.897668150726906,8.294299608857235,7.659642954564682,6.3473892096560105,7236100,15.0,282450
125,37,10,1,4060.0,0.47044334975369456,0.4170947195397576,7.5,8.309184527686298,9.1834829178063,7.67368812926773,7.555381944240273,16483600,10.0,150220
126,16,8,1,1415.0,0.0,0.21670878321464124,7.75,7.9483852851118995,9.477309402830421,7.9483852851118995,0.0,8008900,11.0,45280
127,7,7,0,1600.0,0.165625,0.9846153846153847,8.5,8.071218539969863,8.086717920303906,7.890208213109961,6.274762021241939,10240000,14.0,22400
128,30,30,0,1295.0,0.0,0.17007026068684747,6.25,7.85979918056211,9.631022445889208,7.85979918056211,0.0,6708100,6.75,77700
129,14,14,0,1645.0,0.0,0.4816983894582723,6.5,8.098946748943339,8.82922635473185,8.098946748943339,0.0,10824100,7.5,46060
130,39,39,0,870.0,0.0,0.12654545454545454,6.5,7.462214939768189,9.528866827722945,7.462214939768189,0.0,3027600,7.5,67860
131,21,21,0,2930.0,0.30716723549488056,0.14741396659287584,5.75,7.983098940710892,9.897318563390598,7.616283561580385,6.803505257608338,8584900,5.25,61530
132,88,11,1,1500.0,0.20666666666666667,0.2243829468960359,4.0,7.313886831633462,8.807771066980044,7.0825485693553,5.739792912179234,2250000,2.0,132000
133,88,11,1,1060.0,0.0,0.14736549423050188,4.0,6.966967138613983,8.881002624255569,6.966967138613983,0.0,1123600,2.0,93280
134,11,11,0,2070.0,0.23671497584541062,0.5840033855268726,8.5,8.328692583545568,8.866440619526173,8.058643712215618,6.8885724595653635,17139600,14.0,45540
135,27,27,0,1415.0,0.0,0.013231780586219311,8.0,7.9483852851118995,12.273170389062669,7.9483852851118995,0.0,8008900,12.0,76410
136,72,15,1,1060.0,0.31446540880503143,0.2373134328358209,7.0,7.372118028337787,8.81001204797317,6.994849985833071,6.2166061010848646,2528100,5.0,114480
137,30,30,0,995.0,0.0,0.27111716621253407,6.25,7.596392304064196,8.901230352110781,7.596392304064196,0.0,3960100,6.75,59700
138,27,14,1,2160.0,0.33796296296296297,0.43156843156843155,7.75,7.6783263565068856,8.518392471991719,7.266128779556451,6.594413459749778,4665600,11.0,58320
139,14,14,0,800.0,0.0,0.3746195270428471,6.5,7.3783837129967145,8.35983738064003,7.3783837129967145,0.0,2560000,7.5,22400
140,63,63,0,1070.0,0.0,0.17515141594368963,5.0,6.976348070447749,8.71768205216564,6.976348070447749,0.0,1144900,3.0,67410
141,47,3,1,1650.0,0.3393939393939394,0.16606280193236714,5.5,7.409136443920128,9.204020443231363,6.994849985833071,6.329720905522696,2722500,4.5,77550
142,16,8,1,860.0,0.0,0.2776880852437843,6.5,7.450660796211539,8.731497794063243,7.450660796211539,0.0,2958400,7.5,27520
143,66,66,0,1020.0,0.0,0.12507664009809932,4.0,6.928537818164665,9.006509131694346,6.928537818164665,0.0,1040400,2.0,67320
144,66,20,1,1440.0,0.0,0.10827067669172932,5.75,7.273092595999522,9.495594499353297,7.273092595999522,0.0,2073600,3.0,95040
145,60,9,1,1750.0,0.34285714285714286,0.14,5.5,7.467942332285852,9.433563920090563,7.048386408721883,6.398594934535208,3062500,4.5,105000
146,66,20,1,1330.0,0.0,0.14923698384201078,5.0,7.193685818395112,9.095266164130717,7.193685818395112,0.0,1768900,3.0,87780
147,11,11,0,990.0,0.0,0.33508207818581826,7.5,7.591357046698551,8.684401110400144,7.591357046698551,0.0,3920400,10.0,21780
148,89,46,1,1146.6666666666667,0.1511627906976744,0.4056603773584906,6.75,7.450660796211539,8.352554369474591,7.2868764117507,5.564520407322694,2958400,7.0,153080
149,49,49,0,2210.0,0.36199095022624433,0.36348684210526316,7.5,7.701200180857446,8.71292443512011,7.252053951852814,6.68586094706836,4884100,10.0,108290
150,39,39,0,1460.0,0.0,0.1415963534089807,6.0,7.2868764117507,9.241063544619024,7.2868764117507,0.0,2131600,6.0,56940
151,21,21,0,1220.0,0.0,0.34102026554856746,7.5,7.80016307039296,8.87570644462861,7.80016307039296,0.0,5953600,10.0,51240
152,28,28,0,1350.0,0.0,0.11435832274459974,6.0,7.208600337960199,9.376363155800634,7.208600337960199,0.0,1822500,6.0,37800
153,85,85,0,1806.6666666666667,0.3062730627306273,0.6022222222222222,6.0,7.905072849498666,8.412054873292933,7.53955882930103,6.7226297948554485,7344100,6.0,230350
154,35,35,0,1680.0,0.35714285714285715,0.17600838135149294,7.75,7.427144133408616,9.163877497565842,6.985641817639208,6.398594934535208,2822400,11.0,58800
155,10,10,1,1645.0,0.0,0.6542056074766355,8.5,8.098946748943339,8.523175263093785,8.098946748943339,0.0,10824100,12.5,32900
156,39,39,0,1900.0,0.0,0.22093023255813954,7.25,7.550135342488429,9.059633754551479,7.550135342488429,0.0,3610000,9.0,74100
157,62,6,1,1160.0,0.0,0.1316237376602746,5.0,7.057036981697891,9.084096645401932,7.057036981697891,0.0,1345600,3.0,71920
158,7,7,0,1030.0,0.0,0.46828824732893837,6.5,7.630946580890459,8.389359819906353,7.630946580890459,0.0,4243600,7.5,14420
159,97,97,0,1200.0,0.0,0.13333333333333333,4.0,7.0909098220799835,9.105090961257085,7.0909098220799835,0.0,1440000,2.0,116400
160,109,109,0,1800.0,0.5,0.3,5.75,7.496097345175956,8.699681400989514,6.803505257608338,6.803505257608338,3240000,5.25,196200
161,57,14,1,1650.0,0.0,0.13361405781844685,5.75,7.409136443920128,9.421411342056123,7.409136443920128,0.0,2722500,5.25,94050
162,61,61,0,2600.0,0.46153846153846156,0.5416666666666666,7.0,7.8636512654486515,8.476579508530941,7.244941546337007,7.0909098220799835,6760000,8.0,158600
163,37,10,1,1060.0,0.0,0.06435944140862174,4.75,6.966967138613983,9.709356537782675,6.966967138613983,0.0,1123600,3.5,39220
164,47,47,0,1560.0,0.0,0.1793103448275862,6.75,7.353081920515432,9.071193240566025,7.353081920515432,0.0,2433600,7.0,73320
165,67,26,1,1410.0,0.3546099290780142,0.21986589739591456,6.0,7.252053951852814,8.7662383802531,6.814542897259958,6.2166061010848646,1988100,6.0,94470
166,7,7,0,465.0,0.3225806451612903,1.2449799196787148,5.25,6.836259277277067,6.617402977974478,6.447305862541213,5.707110264748875,864900,4.5,6510
167,47,47,0,1440.0,0.0,0.10830324909747292,6.75,7.273092595999522,9.495293724856706,7.273092595999522,0.0,2073600,7.0,67680
168,58,13,1,1420.0,0.16901408450704225,0.017339911102427587,4.0,7.259116128097101,11.313168796102914,7.074116816197362,5.484796933490655,2016400,2.0,82360
169,102,102,0,2010.0,0.3880597014925373,0.40978593272171254,5.75,7.606387389772652,8.498214224818435,7.115582126184454,6.660575149839686,4040100,5.25,205020
170,96,40,1,700.0,0.0,0.23333333333333334,4.0,6.55250788703459,8.006700845440367,6.55250788703459,0.0,490000,2.0,67200
171,31,31,0,1140.0,0.0,0.10961538461538461,5.75,7.039660349862076,9.249657234353133,7.039660349862076,0.0,1299600,5.25,35340
172,11,11,0,935.0,0.0,0.34318223527252706,6.5,7.534228326274089,8.60337088765729,7.534228326274089,0.0,3496900,7.5,20570
173,47,47,0,1860.0,0.3870967741935484,0.03051181102362205,5.5,7.528869256642251,11.017989594425455,7.039660349862076,6.580639137284949,3459600,4.5,87420
174,7,7,0,735.0,0.2585034013605442,0.9315589353612167,6.25,7.293697720601438,7.364547014255642,6.994849985833071,5.942799375126701,2160900,6.75,10290
175,47,3,1,1630.0,0.0,0.056993006993006995,5.75,7.396948602621014,10.261196961231647,7.396948602621014,0.0,2656900,5.25,76610
176,26,26,0,853.3333333333334,0.0,0.17012227538543329,5.75,7.155396301896734,8.925986089617076,7.155396301896734,0.0,1638400,5.25,33280
177,30,30,0,845.0,0.0,0.17556617494286308,6.5,7.43307534889858,9.172326929777967,7.43307534889858,0.0,2856100,7.5,50700
178,39,39,0,1353.3333333333333,0.0,0.11095927849139109,6.75,7.616283561580385,9.814437735702617,7.616283561580385,0.0,4120900,7.0,79170
179,36,36,0,2240.0,0.4017857142857143,0.2882882882882883,8.5,7.714677473800927,8.958154135209242,7.201170883281678,6.803505257608338,5017600,12.5,80640
180,21,21,0,1400.0,0.0,0.2935625917383099,7.5,7.937731775260109,9.163143937145207,7.937731775260109,0.0,7840000,10.0,58800
181,42,42,0,900.0,0.0,0.12,5.0,6.803505257608338,8.922791623969637,6.803505257608338,0.0,810000,3.0,37800
182,9,9,0,1275.0,0.0,0.550755939524838,7.5,7.844240718141811,8.440528106480752,7.844240718141811,0.0,6502500,10.0,22950
183,35,35,0,1555.0,0.0,0.028673108128042486,8.5,8.042699496897637,11.594182819277162,8.042699496897637,0.0,9672100,14.0,108850
184,7,7,0,760.0,0.11403508771929824,0.6589595375722543,4.0,7.039660349862076,7.456454555176209,6.918695219020472,4.875197323201151,1299600,2.0,7980
185,41,1,1,1440.0,0.0,0.1641025641025641,5.75,7.273092595999522,9.079776001955066,7.273092595999522,0.0,2073600,5.25,59040
186,46,46,0,1105.0,0.0,0.23583395582115035,7.25,7.701200180857446,9.145481799627687,7.701200180857446,0.0,4884100,9.0,101660
187,34,34,0,1015.0,0.0,0.18337850045167117,7.25,7.616283561580385,9.312084355859467,7.616283561580385,0.0,4120900,9.75,69020
188,60,60,0,2080.0,0.4423076923076923,0.5360824742268041,6.0,7.640603826393634,8.263848131368906,7.057036981697891,6.825460036255307,4326400,6.0,124800
189,65,65,0,1210.0,0.0,0.12872340425531914,4.0,7.099201743553092,9.148571345578551,7.099201743553092,0.0,1464100,2.0,78650
