Unnamed: 0,house_age,years_since_last_action,was_renovated,sqft_living_per_floor,sqft_basement_ratio,sqft_living_lot_ratio,total_rooms_approx,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,sqft_living_sq,bed_bath_interaction,age_sqft_interaction,city,statezip,city_encoded,statezip_encoded
43,7,7,0,730.0,0.191780822,0.905145691,6.5,7.286876412,7.386470849,7.074116816,5.638354669,2131600,7.5,10220,Seattle,WA 98117,570515.8814716863,561530.210114151
44,31,5,1,910.0,0.0,0.225108225,6.5,7.50714108,8.99788945,7.50714108,0.0,3312400,7.5,56420,Renton,WA 98055,383432.0808217949,320948.0
45,12,12,0,1925.0,0.212987013,0.236937658,9.25,8.256088134,9.695848188,8.016647877,6.710523109,14822500,16.25,46200,Auburn,WA 98092,297484.6263186567,352629.1462301587
46,52,11,1,1320.0,0.0,0.247778751,6.0,7.591357047,8.98619632,7.591357047,0.0,3920400,4.0,102960,Renton,WA 98058,383432.0808217949,361347.7168918919
47,5,5,0,1275.0,0.0,0.566666667,7.5,7.844240718,8.412054873,7.844240718,0.0,6502500,10.0,12750,Renton,WA 98059,383432.0808217949,502068.15179130435
48,17,17,0,935.0,0.0,0.578947368,6.25,7.534228326,8.080546966,7.534228326,0.0,3496900,6.75,31790,Renton,WA 98056,383432.0808217949,411257.8726360656
49,51,51,0,2680.0,0.458955224,0.095666452,7.5,7.893945138,10.24049536,7.280008253,7.115582126,7182400,7.5,136680,Bellevue,WA 98004,868105.2200754544,1419321.0701754387
50,66,29,1,633.3333333,0.0,0.223529412,5.0,6.857514063,8.354909528,6.857514063,0.0,902500,3.0,62700,Seattle,WA 98122,570515.8814716863,578543.6049388888
51,50,14,1,2340.0,0.320512821,0.364485981,7.5,7.758333467,8.767329148,7.372118028,6.621405652,5475600,10.0,117000,Shoreline,WA 98177,432730.11461999995,708333.8682162791
52,68,25,1,1555.0,0.180064309,0.459719143,6.5,8.042699497,8.819665349,7.844240718,6.329720906,9672100,7.5,211480,Seattle,WA 98115,570515.8814716863,615531.1620875
53,34,34,0,1580.0,0.0,0.316,9.25,8.058643712,9.210440367,8.058643712,0.0,9985600,16.25,107440,Issaquah,WA 98027,604410.8557,587123.0243902439
54,36,14,1,2055.0,0.0,0.094352617,10.0,8.321421587,10.68191753,8.321421587,0.0,16892100,20.0,147960,Bellevue,WA 98005,868105.2200754544,794083.8533320001
55,6,6,0,790.0,0.360759494,1.36089578,6.5,7.365812837,7.057897937,6.918695219,6.34738921,2496400,7.5,9480,Seattle,WA 98112,570515.8814716863,986127.6964285715
56,99,99,0,785.0,0.0,1.495238095,5.5,7.359467638,6.957497371,7.359467638,0.0,2464900,4.5,155430,Seattle,WA 98109,570515.8814716863,915494.5652173914
57,51,51,0,1910.0,0.0,0.206620511,7.5,7.555381944,9.131838144,7.555381944,0.0,3648100,10.0,97410,Renton,WA 98059,383432.0808217949,502068.15179130435
58,13,13,0,1170.0,0.0,0.339327146,7.5,7.758333467,8.838841813,7.758333467,0.0,5475600,10.0,30420,Renton,WA 98059,383432.0808217949,502068.15179130435
59,31,5,1,1050.0,0.0,0.138577273,5.0,6.957497371,8.933004592,6.957497371,0.0,1102500,3.0,32550,Federal Way,WA 98023,294767.48545,292141.0063970149
60,23,23,0,4270.0,0.37236534,0.098418845,7.5,8.359603271,10.67791514,7.893945138,7.372118028,18232900,10.0,98210,Redmond,WA 98053,667572.7466631016,700378.28555875
61,59,9,1,720.0,0.0,0.142857143,4.0,6.580639137,8.525359754,6.580639137,0.0,518400,2.0,42480,Seattle,WA 98106,570515.8814716863,299646.54088113207
62,6,6,0,2130.0,0.0,0.434693878,8.75,8.357259153,9.1902397,8.357259153,0.0,18147600,15.0,25560,Kirkland,WA 98033,624274.5115604027,785812.8133802817
63,39,39,0,1360.0,0.367647059,0.167901235,4.75,7.215975003,8.99974279,6.758094504,6.216606101,1849600,3.5,53040,Seattle,WA 98177,570515.8814716863,708333.8682162791
64,15,15,0,835.0,0.0,0.468443198,6.5,7.421177529,8.179199798,7.421177529,0.0,2788900,7.5,25050,Woodinville,WA 98072,627221.0372340425,586174.3636363636
65,57,14,1,1390.0,0.381294964,0.127464466,5.75,7.237778192,9.297068375,6.758094504,6.274762021,1932100,5.25,79230,Seattle,WA 98106,570515.8814716863,299646.54088113207
66,43,43,0,2005.0,0.289276808,0.471210341,9.5,8.296795866,9.049114723,7.955425089,7.057036982,16080100,17.5,172430,Seattle,WA 98105,570515.8814716863,942518.2291656251
67,11,11,0,2220.0,0.0,0.416510319,8.5,8.398634855,9.274347502,8.398634855,0.0,19713600,14.0,48840,Newcastle,WA 98059,681680.0357142857,502068.15179130435
68,36,14,1,1660.0,0.0,0.205878705,7.5,7.41517511,8.99516499,7.41517511,0.0,2755600,10.0,59760,Des Moines,WA 98198,308911.756097561,313104.55
69,72,32,1,1160.0,0.25862069,0.193333333,4.0,7.057036982,8.699681401,6.758094504,5.707110265,1345600,2.0,83520,Seattle,WA 98115,570515.8814716863,615531.1620875
70,7,7,0,820.0,0.073170732,0.773584906,3.0,6.710523109,6.966967139,6.634633358,4.110873864,672400,1.0,5740,Seattle,WA 98126,570515.8814716863,427857.9768181818
71,39,39,0,810.0,0.0,0.202702703,7.0,7.390798522,8.986321438,7.390798522,0.0,2624400,8.0,63180,Kent,WA 98031,481139.1425712329,736617.6659482758
72,104,104,0,806.6666667,0.0,0.210434783,5.0,7.099201744,8.657129032,7.099201744,0.0,1464100,3.0,125840,Seattle,WA 98136,570515.8814716863,550858.2215909091
73,15,15,0,1670.0,0.0,0.374020157,7.5,8.114025442,9.09728365,8.114025442,0.0,11155600,10.0,50100,Snoqualmie,WA 98065,544275.5172413794,544275.5172413794
74,37,10,1,1990.0,0.40201005,0.207421305,5.75,7.596392304,9.168997408,7.082548569,6.685860947,3960100,5.25,73630,Redmond,WA 98052,667572.7466631016,643045.2409467289
75,69,69,0,1620.0,0.487654321,0.385714286,5.75,7.390798522,8.343077871,6.722629795,6.673297968,2624400,5.25,111780,Seattle,WA 98115,570515.8814716863,615531.1620875
76,23,23,0,1115.0,0.0,0.042088972,8.0,7.710205194,10.87774526,7.710205194,0.0,4972900,12.0,51290,Kent,WA 98030,481139.1425712329,267279.41586999997
77,43,43,0,1930.0,0.466321244,0.229761905,8.5,7.565793282,9.036106025,6.938284484,6.803505258,3724900,9.0,82990,Burien,WA 98146,355809.0060765625,370628.2541675
78,24,24,0,1110.0,0.0,0.36700281,6.5,7.705712824,8.707813551,7.705712824,0.0,4928400,7.5,53280,Kent,WA 98031,481139.1425712329,736617.6659482758
79,11,11,0,3020.0,0.293598234,0.017507517,9.0,8.418697945,12.46360603,8.07121854,7.193685818,20520900,15.0,49830,Woodinville,WA 98077,627221.0372340425,685107.3717948718
80,108,0,1,1460.0,0.136986301,0.202777778,5.0,7.286876412,8.881975184,7.139660336,5.303304908,2131600,3.0,157680,Seattle,WA 98103,570515.8814716863,585021.7971639343
81,47,3,1,1840.0,0.336956522,0.191666667,6.75,7.518064181,9.169622539,7.107425474,6.431331082,3385600,7.0,86480,Redmond,WA 98052,667572.7466631016,643045.2409467289
82,30,30,0,1230.0,0.0,0.106937924,6.0,7.115582126,9.35036315,7.115582126,0.0,1512900,6.0,36900,Redmond,WA 98052,667572.7466631016,643045.2409467289
83,93,93,0,1220.0,0.295081967,0.244,4.75,7.107425474,8.517393171,6.758094504,5.888877958,1488400,3.5,113460,Renton,WA 98057,383432.0808217949,276971.66667
84,100,18,1,720.0,0.0,0.15,3.0,6.580639137,8.476579509,6.580639137,0.0,518400,1.0,72000,Seattle,WA 98118,570515.8814716863,439296.84873970586
85,12,12,0,2035.0,0.0,0.035258243,7.75,8.311643949,11.65646288,8.311643949,0.0,16564900,11.0,48840,North Bend,WA 98045,404148.135415625,404148.135415625
86,73,20,1,980.0,0.224489796,0.153605016,5.0,6.88857246,8.761080104,6.634633358,5.398162702,960400,3.0,71540,Seattle,WA 98115,570515.8814716863,615531.1620875
87,69,69,0,960.0,0.0,0.023445514,3.0,6.867974409,10.62003383,6.867974409,0.0,921600,1.0,66240,Carnation,WA 98014,418696.8333333333,418696.8333333333
88,103,26,1,1370.0,0.437956204,0.355844156,5.75,7.22329568,8.256088134,6.647688374,6.398594935,1876900,5.25,141110,Seattle,WA 98112,570515.8814716863,986127.6964285715
89,48,48,0,1900.0,0.5,0.285285285,6.0,7.550135342,8.804024902,6.857514063,6.857514063,3610000,6.0,91200,Maple Valley,WA 98038,340425.62602739723,340425.62602739723
90,66,66,0,615.0,0.325203252,0.675824176,4.0,7.115582126,7.50714108,6.722629795,5.993961427,1512900,2.0,81180,Seattle,WA 98107,570515.8814716863,567483.5416666666
91,86,86,0,1680.0,0.400793651,0.438032331,7.5,7.832410927,8.657650544,7.320526962,6.918695219,6350400,7.5,216720,Enumclaw,WA 98022,308011.23188260867,308011.23188260867
92,29,29,0,2112.5,0.0,0.014876184,9.5,8.349011198,12.55677177,8.349011198,0.0,17850625,18.0,122525,Sammamish,WA 98074,716445.2950143885,648637.487615493
93,27,27,0,1400.0,0.185714286,0.044267375,6.25,7.244941546,10.36176647,7.03966035,5.564520407,1960000,6.75,37800,Auburn,WA 98092,297484.6263186567,352629.1462301587
94,13,13,0,1315.0,0.0,0.451347177,6.5,7.875119281,8.670429167,7.875119281,0.0,6916900,7.5,34190,Redmond,WA 98053,667572.7466631016,700378.28555875
95,64,29,1,1533.333333,0.0,0.092843015,9.75,7.74109909,10.11755,7.74109909,0.0,5290000,16.5,147200,Mercer Island,WA 98040,1141272.6555549998,1141272.6555549998
96,9,9,0,1010.0,0.0,0.788857068,7.5,8.016647877,8.253748343,8.016647877,0.0,9180900,10.0,27270,Seattle,WA 98117,570515.8814716863,561530.210114151
97,61,31,1,1190.0,0.0,0.125448029,5.0,7.082548569,9.157677719,7.082548569,0.0,1416100,3.0,72590,Normandy Park,WA 98166,492897.9166666667,422240.16439999995
98,46,46,0,1630.0,0.0,0.157108434,7.0,7.396948603,9.247250726,7.396948603,0.0,2656900,8.0,74980,Woodinville,WA 98077,627221.0372340425,685107.3717948718
99,1,1,1,1785.0,0.198879552,0.432727273,9.0,8.180600948,9.018089684,7.958926493,6.56667243,12744900,16.0,3570,Mercer Island,WA 98040,1141272.6555549998,1141272.6555549998
100,47,4,1,1945.0,0.161953728,0.539079823,6.75,8.266421473,8.884194633,8.089789176,6.447305863,15132100,8.25,182830,Seattle,WA 98118,570515.8814716863,439296.84873970586
101,8,8,0,2890.0,0.262975779,0.339920019,10.75,8.662331957,9.741262697,8.357259153,7.327123292,33408400,23.75,46240,Mercer Island,WA 98040,1141272.6555549998,1141272.6555549998
102,60,35,1,2850.0,0.392982456,0.272102349,6.5,7.955425089,9.256746745,7.456454555,7.021976423,8122500,7.5,171000,Bellevue,WA 98004,868105.2200754544,1419321.0701754387
103,11,11,0,1386.666667,0.254807692,0.489181562,6.25,7.640603826,8.355379895,7.346655163,6.274762021,4326400,6.75,22880,Kent,WA 98042,481139.1425712329,335536.09890128206
104,72,15,1,1830.0,0.0,0.222926057,5.0,7.512617545,9.013108202,7.512617545,0.0,3348900,3.0,131760,Kenmore,WA 98028,444443.133332,443865.81699215685
105,76,76,0,3500.0,0.477142857,0.252252252,7.25,8.160803921,9.537916008,7.512617545,7.421177529,12250000,9.0,266000,Seattle,WA 98146,570515.8814716863,370628.2541675
106,14,14,0,1590.0,0.0,0.145178963,7.5,8.064950892,9.9944702,8.064950892,0.0,10112400,10.0,44520,Renton,WA 98059,383432.0808217949,502068.15179130435
107,34,34,0,2330.0,0.154506438,0.156459844,5.75,7.754052639,9.608646583,7.586296307,5.888877958,5428900,5.25,79220,Sammamish,WA 98074,716445.2950143885,648637.487615493
108,57,13,1,1100.0,0.0,0.128865979,5.0,7.003974137,9.052164937,7.003974137,0.0,1210000,3.0,62700,Seattle,WA 98118,570515.8814716863,439296.84873970586
109,53,10,1,2650.0,0.471698113,0.231340026,8.5,7.882692206,9.346268889,7.244941546,7.13169851,7022500,12.5,140450,Bellevue,WA 98008,868105.2200754544,599919.4444444445
110,84,84,0,1410.0,0.127659574,0.391666667,8.25,7.944846711,8.881975184,7.80832305,5.888877958,7952400,12.75,236880,Seattle,WA 98112,570515.8814716863,986127.6964285715
111,5,5,0,2295.0,0.0,0.312563841,10.5,8.431853144,9.594649938,8.431853144,0.0,21068100,22.5,22950,Kirkland,WA 98033,624274.5115604027,785812.8133802817
112,51,51,0,1640.0,0.304878049,0.114094894,6.25,7.403061091,9.573245866,7.03966035,6.216606101,2689600,6.75,83640,Burien,WA 98148,355809.0060765625,315054.1666666667
113,1,1,1,800.0,0.0,0.447802967,6.5,7.378383713,8.181440696,7.378383713,0.0,2560000,7.5,1600,Renton,WA 98056,383432.0808217949,411257.8726360656
114,10,10,1,2000.0,0.23,0.665004156,10.75,8.294299609,8.702177866,8.033009499,6.825460036,16000000,22.5,40000,Renton,WA 98058,383432.0808217949,361347.7168918919
115,42,42,0,1080.0,0.0,0.276994101,4.0,6.985641818,8.268731832,6.985641818,0.0,1166400,2.0,45360,Des Moines,WA 98198,308911.756097561,313104.55
116,0,0,0,1880.0,0.239361702,0.752,8.5,8.232440158,8.517393171,7.958926493,6.803505258,14137600,14.0,0,Seattle,WA 98117,570515.8814716863,561530.210114151
117,45,12,1,2255.0,0.0,0.297199341,10.0,8.414274137,9.627470512,8.414274137,0.0,20340100,20.0,202950,Mercer Island,WA 98040,1141272.6555549998,1141272.6555549998
118,92,92,0,740.0,0.0,0.096354167,4.0,6.608000625,8.946505026,6.608000625,0.0,547600,2.0,68080,Seattle,WA 98126,570515.8814716863,427857.9768181818
119,67,26,1,1650.0,0.424242424,0.4125,4.75,7.409136444,8.294299609,6.857514063,6.552507887,2722500,3.5,110550,Seattle,WA 98108,570515.8814716863,330107.63636363635
120,28,28,0,1290.0,0.0,0.19700672,6.5,7.8559322,9.480138475,7.8559322,0.0,6656400,7.5,72240,Redmond,WA 98052,667572.7466631016,643045.2409467289
121,31,5,1,1440.0,0.0,0.122168491,5.75,7.273092596,9.374837344,7.273092596,0.0,2073600,5.25,44640,Sammamish,WA 98074,716445.2950143885,648637.487615493
122,27,14,1,1130.0,0.0,0.222594307,6.5,7.723562472,9.225622996,7.723562472,0.0,5107600,7.5,61020,Sammamish,WA 98074,716445.2950143885,648637.487615493
123,89,12,1,1580.0,0.253164557,0.250793651,5.0,7.365812837,8.74846363,7.074116816,5.993961427,2496400,3.0,140620,Seattle,WA 98199,570515.8814716863,773926.1244719297
124,105,25,1,1345.0,0.211895911,0.6725,8.75,7.897668151,8.294299609,7.659642955,6.34738921,7236100,15.0,282450,Seattle,WA 98119,570515.8814716863,926155.9828974358
125,37,10,1,4060.0,0.47044335,0.41709472,7.5,8.309184528,9.183482918,7.673688129,7.555381944,16483600,10.0,150220,Kenmore,WA 98028,444443.133332,443865.81699215685
126,16,8,1,1415.0,0.0,0.216708783,7.75,7.948385285,9.477309403,7.948385285,0.0,8008900,11.0,45280,Sammamish,WA 98075,716445.2950143885,782580.4912328571
127,7,7,0,1600.0,0.165625,0.984615385,8.5,8.07121854,8.08671792,7.890208213,6.274762021,10240000,14.0,22400,Issaquah,WA 98029,604410.8557,624102.6253971428
128,30,30,0,1295.0,0.0,0.170070261,6.25,7.859799181,9.631022446,7.859799181,0.0,6708100,6.75,77700,Des Moines,WA 98198,308911.756097561,313104.55
129,14,14,0,1645.0,0.0,0.481698389,6.5,8.098946749,8.829226355,8.098946749,0.0,10824100,7.5,46060,Redmond,WA 98052,667572.7466631016,643045.2409467289
130,39,39,0,870.0,0.0,0.126545455,6.5,7.46221494,9.528866828,7.46221494,0.0,3027600,7.5,67860,Bellevue,WA 98008,868105.2200754544,599919.4444444445
131,21,21,0,2930.0,0.307167235,0.147413967,5.75,7.983098941,9.897318563,7.616283562,6.803505258,8584900,5.25,61530,Woodinville,WA 98072,627221.0372340425,586174.3636363636
132,88,11,1,1500.0,0.206666667,0.224382947,4.0,7.313886832,8.807771067,7.082548569,5.739792912,2250000,2.0,132000,Seattle,WA 98133,570515.8814716863,378643.3288893333
133,88,11,1,1060.0,0.0,0.147365494,4.0,6.966967139,8.881002624,6.966967139,0.0,1123600,2.0,93280,Seattle,WA 98133,570515.8814716863,378643.3288893333
134,11,11,0,2070.0,0.236714976,0.584003386,8.5,8.328692584,8.86644062,8.058643712,6.88857246,17139600,14.0,45540,Kirkland,WA 98034,624274.5115604027,477233.23682692304
135,27,27,0,1415.0,0.0,0.013231781,8.0,7.948385285,12.27317039,7.948385285,0.0,8008900,12.0,76410,Auburn,WA 98092,297484.6263186567,352629.1462301587
136,72,15,1,1060.0,0.314465409,0.237313433,7.0,7.372118028,8.810012048,6.994849986,6.216606101,2528100,5.0,114480,Seattle,WA 98146,570515.8814716863,370628.2541675
137,30,30,0,995.0,0.0,0.271117166,6.25,7.596392304,8.901230352,7.596392304,0.0,3960100,6.75,59700,Woodinville,WA 98072,627221.0372340425,586174.3636363636
138,27,14,1,2160.0,0.337962963,0.431568432,7.75,7.678326357,8.518392472,7.26612878,6.59441346,4665600,11.0,58320,Seattle,WA 98115,570515.8814716863,615531.1620875
139,14,14,0,800.0,0.0,0.374619527,6.5,7.378383713,8.359837381,7.378383713,0.0,2560000,7.5,22400,Auburn,WA 98001,297484.6263186567,259753.75910196078
140,63,63,0,1070.0,0.0,0.175151416,5.0,6.97634807,8.717682052,6.97634807,0.0,1144900,3.0,67410,Seattle,WA 98125,570515.8814716863,450881.6901408451
141,47,3,1,1650.0,0.339393939,0.166062802,5.5,7.409136444,9.204020443,6.994849986,6.329720906,2722500,4.5,77550,Federal Way,WA 98003,294767.48545,297147.36842105264
142,16,8,1,860.0,0.0,0.277688085,6.5,7.450660796,8.731497794,7.450660796,0.0,2958400,7.5,27520,Auburn,WA 98092,297484.6263186567,352629.1462301587
143,66,66,0,1020.0,0.0,0.12507664,4.0,6.928537818,9.006509132,6.928537818,0.0,1040400,2.0,67320,Seattle,WA 98177,570515.8814716863,708333.8682162791
144,66,20,1,1440.0,0.0,0.108270677,5.75,7.273092596,9.495594499,7.273092596,0.0,2073600,3.0,95040,Burien,WA 98166,355809.0060765625,422240.16439999995
145,60,9,1,1750.0,0.342857143,0.14,5.5,7.467942332,9.43356392,7.048386409,6.398594935,3062500,4.5,105000,Fall City,WA 98024,701950.0,701950.0
146,66,20,1,1330.0,0.0,0.149236984,5.0,7.193685818,9.095266164,7.193685818,0.0,1768900,3.0,87780,SeaTac,WA 98188,254070.79166666666,275761.05555555556
147,11,11,0,990.0,0.0,0.335082078,7.5,7.591357047,8.68440111,7.591357047,0.0,3920400,10.0,21780,Kent,WA 98031,481139.1425712329,736617.6659482758
148,89,46,1,1146.666667,0.151162791,0.405660377,6.75,7.450660796,8.352554369,7.286876412,5.564520407,2958400,7.0,153080,Seattle,WA 98144,570515.8814716863,566322.6056338028
149,49,49,0,2210.0,0.36199095,0.363486842,7.5,7.701200181,8.712924435,7.252053952,6.685860947,4884100,10.0,108290,Seattle,WA 98178,570515.8814716863,264132.760415
150,39,39,0,1460.0,0.0,0.141596353,6.0,7.286876412,9.241063545,7.286876412,0.0,2131600,6.0,56940,Redmond,WA 98052,667572.7466631016,643045.2409467289
151,21,21,0,1220.0,0.0,0.341020266,7.5,7.80016307,8.875706445,7.80016307,0.0,5953600,10.0,51240,Renton,WA 98058,383432.0808217949,361347.7168918919
152,28,28,0,1350.0,0.0,0.114358323,6.0,7.208600338,9.376363156,7.208600338,0.0,1822500,6.0,37800,Duvall,WA 98019,388269.8245605263,388269.8245605263
153,85,85,0,1806.666667,0.306273063,0.602222222,6.0,7.905072849,8.412054873,7.539558829,6.722629795,7344100,6.0,230350,Seattle,WA 98115,570515.8814716863,615531.1620875
154,35,35,0,1680.0,0.357142857,0.176008381,7.75,7.427144133,9.163877498,6.985641818,6.398594935,2822400,11.0,58800,Kenmore,WA 98028,444443.133332,443865.81699215685
